FIPS,CBSA
24021,47900
24031,47900
11001,47900
24009,47900
24017,47900
24033,47900
51013,47900
51043,47900
51047,47900
51059,47900
51061,47900
51107,47900
51113,47900
51153,47900
51157,47900
51177,47900
51179,47900
51187,47900
51510,47900
51600,47900
51610,47900
51630,47900
51683,47900
51685,47900
54037,47900
39047,47920
19013,47940
19017,47940
19075,47940
46029,47980
46057,47980
55055,48020
36045,48060
12049,48100
55069,48140
55073,48140
13229,48180
13299,48180
40039,48220
39081,48260
54009,48260
54029,48260
53007,48300
53017,48300
29091,48460
28025,48500
39013,48540
54051,48540
54069,48540
55127,48580
20015,48620
20079,48620
20173,48620
20191,48620
48009,48660
48077,48660
48485,48660
42081,48700
38105,48780
27067,48820
37129,48900
37141,48900
39027,48940
37195,48980
51069,49020
51840,49020
54027,49020
20035,49060
32013,49080
27169,49100
37057,49180
37059,49180
37067,49180
37169,49180
37197,49180
55141,49220
40045,49260
40153,49260
39169,49300
09015,49340
25027,49340
27105,49380
53077,49420
46135,49460
72055,49500
72059,49500
72111,49500
72153,49500
42133,49620
39099,49660
39155,49660
42085,49660
06101,49700
06115,49700
04027,49740
39119,49780
48505,49820
